Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

BT1        KEYELCO_2998       257.4798mm    181.3306mm    257.4798mm    181.3306mm    252.9298mm    181.3306mm  T          0.00 2998           
R333       RESC1005X40L        103.632mm      88.138mm     103.632mm      88.138mm     103.632mm      87.638mm  B         90.00 49R9           
R332       RESC1005X40L        114.554mm      80.772mm     114.554mm      80.772mm     114.054mm      80.772mm  B        360.00 49R9           
R331       RESC1005X40L        112.522mm      80.391mm     112.522mm      80.391mm     113.022mm      80.391mm  B        180.00 49R9           
R330       RESC1005X40L        103.505mm        76.2mm     103.505mm        76.2mm     103.505mm        75.7mm  B         90.00 49R9           
R329       RESC1005X40L         94.742mm      80.264mm      94.742mm      80.264mm      95.242mm      80.264mm  B        180.00 49R9           
R328       RESC1005X40L         96.647mm      80.264mm      96.647mm      80.264mm      96.147mm      80.264mm  B        360.00 49R9           
R327       RESC1005X40L        103.378mm      70.612mm     103.378mm      70.612mm     103.378mm      71.112mm  B        270.00 49R9           
R326       RESC1005X40L        103.632mm      67.691mm     103.632mm      67.691mm     103.632mm      67.191mm  B         90.00 49R9           
R325       RESC1005X40L         92.329mm      56.642mm      92.329mm      56.642mm      92.329mm      57.142mm  B        270.00 49R9           
R319       RESC1005X40L        103.505mm      65.278mm     103.505mm      65.278mm     103.505mm      65.778mm  B        270.00 49R9           
R318       RESC1005X40L         88.265mm      80.264mm      88.265mm      80.264mm      88.765mm      80.264mm  B        180.00 49R9           
R317       RESC1005X40L         91.567mm      80.264mm      91.567mm      80.264mm      91.067mm      80.264mm  B        360.00 49R9           
R316       RESC1005X40L         69.088mm     109.728mm      69.088mm     109.728mm      68.588mm     109.728mm  T        360.00 0R             
R315       RESC1005X40L         69.088mm     108.712mm      69.088mm     108.712mm      68.588mm     108.712mm  T        360.00 0R             
R314       RESC1005X40L         69.088mm     107.696mm      69.088mm     107.696mm      68.588mm     107.696mm  T        360.00 0R             
R313       RESC1005X40L         69.088mm      106.68mm      69.088mm      106.68mm      68.588mm      106.68mm  T        360.00 0R             
R312       RESC1005X40L         71.628mm       43.18mm      71.628mm       43.18mm      72.128mm       43.18mm  T        180.00 0R             
R311       RESC1005X40L         71.628mm      44.196mm      71.628mm      44.196mm      72.128mm      44.196mm  T        180.00 0R             
R310       RESC1005X40L         97.028mm       45.72mm      97.028mm       45.72mm      96.528mm       45.72mm  T        360.00 0R             
R309       RESC1005X40L         97.028mm      44.704mm      97.028mm      44.704mm      96.528mm      44.704mm  T        360.00 0R             
R308       RESC1005X40L        141.224mm       60.96mm     141.224mm       60.96mm     141.724mm       60.96mm  T        180.00 0R             
R307       RESC1005X40L        141.224mm      59.944mm     141.224mm      59.944mm     141.724mm      59.944mm  T        180.00 0R             
R306       RESC1005X40L        141.224mm      61.976mm     141.224mm      61.976mm     141.724mm      61.976mm  T        180.00 0R             
R305       RESC1005X40L        141.224mm      62.992mm     141.224mm      62.992mm     141.724mm      62.992mm  T        180.00 0R             
R304       RESC1005X40L        140.716mm      91.948mm     140.716mm      91.948mm     141.216mm      91.948mm  T        180.00 0R             
R303       RESC1005X40L        140.716mm      90.932mm     140.716mm      90.932mm     141.216mm      90.932mm  T        180.00 0R             
R302       RESC1005X40L        140.716mm      92.964mm     140.716mm      92.964mm     141.216mm      92.964mm  T        180.00 0R             
R301       RESC1005X40L        140.716mm       93.98mm     140.716mm       93.98mm     141.216mm       93.98mm  T        180.00 0R             
C611       CAPC1005X55L        162.179mm      45.593mm     162.179mm      45.593mm     161.679mm      45.593mm  T        360.00 1000pF         
C294       CAPC1005X55L        164.211mm      45.593mm     164.211mm      45.593mm     163.711mm      45.593mm  T        360.00 1000pF         
J8         SAMTEC_QMSS-064-06_75-L-D-A-DP     84.8866mm     143.332mm      84.912mm     143.332mm     45.6255mm    140.0935mm  T        360.00 QMSS-064-06_75-L-D-A-DP
J7         SAMTEC_QMSS-064-06_75-L-D-A-DP    178.3586mm     143.332mm     178.384mm     143.332mm    139.0975mm    140.0935mm  T        360.00 QMSS-064-06_75-L-D-A-DP
C264       CAPC1005X55L        263.779mm      68.707mm     263.779mm      68.707mm     264.279mm      68.707mm  T        180.00 CapStd         
R297       RESC1005X40L        222.504mm     221.488mm     222.504mm     221.488mm     222.504mm     220.988mm  T         90.00 0R             
R296       RESC1005X40L         144.78mm     221.996mm      144.78mm     221.996mm      144.78mm     221.496mm  T         90.00 0R             
R295       RESC1005X40L        222.123mm     155.924mm     222.123mm     155.924mm     222.123mm     155.424mm  T         90.00 0R             
R294       RESC1005X40L        144.653mm     155.924mm     144.653mm     155.924mm     144.653mm     155.424mm  T         90.00 0R             
R293       RESC1005X40L         51.562mm     221.742mm      51.562mm     221.742mm      51.562mm     221.242mm  T         90.00 0R             
R292       RESC1005X40L        129.032mm     221.869mm     129.032mm     221.869mm     129.032mm     221.369mm  T         90.00 0R             
R291       RESC1005X40L        128.651mm     155.924mm     128.651mm     155.924mm     128.651mm     155.424mm  T         90.00 0R             
R290       RESC1005X40L         51.054mm     155.924mm      51.054mm     155.924mm      51.054mm     155.424mm  T         90.00 0R             
R287       RESC1005X40L        221.818mm      83.388mm     221.818mm      83.388mm     221.318mm      83.388mm  B          0.00 3R3            
R286       RESC1005X40L        222.707mm      68.021mm     222.707mm      68.021mm     222.207mm      68.021mm  B        360.00 3R3            
R285       RESC1005X40L        222.707mm      69.037mm     222.707mm      69.037mm     222.207mm      69.037mm  B        360.00 3R3            
R371       RESC1005X40L         94.056mm      31.064mm      94.056mm      31.064mm      94.056mm      31.564mm  T        270.00 249R           
C304       CAPMP7343X280L     102.7098mm    119.3569mm    102.7098mm    119.3569mm    105.2348mm    119.3569mm  T        180.00 330uF          
C743       CAPC1005X60L       172.4385mm    116.9807mm    172.4385mm    116.9807mm    172.4385mm    117.4807mm  B        270.00 0.1uF          
U81        PW048              171.8169mm    114.1201mm    171.8169mm    114.1201mm    168.1919mm    119.8701mm  T        360.00 SN74AVC16T245  
C747       CAPC2012X127L       172.034mm    114.1474mm     172.034mm    114.1474mm     172.034mm    113.3974mm  B         90.00 4.7uF          
