"Manufacturer";"PartNum";"Description";"Designator";"Quantity";"Rating";"Tolerance";"Value";"POD number"
;;;;;;;;
"3M";"8510-4500PL";"2x5, 2.54 mm Pitch, Through-hole, 1 Amp, Female Header";"P1";"1";;;;"CONN-PCB-13"
"3M";"N2520-6V0C-RB-WE";"2x10, 2.54mm Pitch, Male Shrouded Header";"P13, P15";"2";;;;"CONN-PCB-10"
"Amphenol";"132134";"PCB-Mounted, Vertical, SMA Connector";"J9, J10, J11";"3";;;;"CONN-PCB-17"
"Analog Devices";"AD7414ARTZ-1";"0.5 C Accurate, 10-bit Temperature Sensor";"U15, U18";"2";;;;"IC-MON-6"
"Analog Devices";"ADCMP605BCPZ";"Rail-to-Rail, Very Fast, 2.5 V to 5.5 V, Single-Supply LVDS Comparators";"U67, U69";"2";;;;"IC-LOG-7"
"Applied Micro";"PPC440EPX-NUA667T";"667MHz, non-RoHS, PPC440EPx uProcessor";"U2";"1";;;;"IC-CPU-1"
"Atmel";"AT24HC04B-TH-B";"4K Serial EEPROM";"U38";"1";;;;"IC-MEM-4"
"AVX";"TPSB107M006R0200";"100uF, Low ESR, Tantalum Capacitor";"C5, C6, C23, C68, C69, C94, C95, C130, C131, C132, C133, C673, C674, C675, C676, C677, C678";"17";"6.3V";"20%";"100uF";"CAP-TAN-6"
"BOURNS";"7914J-1-000-E";"4mm, Surface mount, Sealed Key Switch";"S1, S4, S5";"3";;;;"ELMECH-SW-1"
"Crystek";"CCLD-023-25-100.000";"100.00 MHz, Low-Jitter Differential LVDS Clock Oscillator";"U72";"1";;;;"RESN-CLK-2"
"Crystek";"CCLD-023-25-125.000";"125.00 MHz, Low-Jitter Differential LVDS Clock Oscillator";"U55";"1";;;;"RESN-CLK-3"
"Crystek";"CCLD-023-25-156.250";"156.25 MHz, Low-Jitter Differential LVDS Clock Oscillator";"U56";"1";;;;"RESN-CLK-4"
"CTS";"405C35D12M00000";"12 MHz, Surface mount, Crystal Oscillator";"Y4";"1";;;;"RESN-XTAL-4"
"CTS";"405C35D48M00000";"48 MHz, Surface mount, Crystal Oscillator";"Y3";"1";;;;"RESN-XTAL-3"
"CTS";"636N5C025M00000";"25.00 MHz, 2V5, CTS 636 clock oscillator";"Y6, Y7";"2";;;;"RESN-CLK-5"
"CTS";"CB3LV-3C-33M3333";"Surface mount, 33.3333 MHz, 3V3 Clock, oscillator";"Y2";"1";;;;"RESN-CLK-1"
"Cypress";"CY7C2565KV18-450BZXC";"72Mb, 36-Bit wide, QDR2+ Synchronous SRAM with ODT";"U57, U58, U60, U61";"4";;;;"IC-MEM-1"
"Fairchild Semi";"BAS21";"General Purpose, High Voltage, Diode";"D1, D2";"2";;;;"DIODE-STD-0"
"Fairchild Semiconductor";"BSS138";"N-Channel Logic Level Enhancement Mode Field Effect Transistor";"Q3, Q4, Q5, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18";"12";"0.22A";;;"TRANS-NFET-0"
"Fairchild Semiconductor";"NC7S08M5X";"TinyLogicﾮ HS 2-Input AND Gate";"U51, U86";"2";;;;"IC-LOG-0"
"Fairchild Semiconductor";"NDS331N";"N-Channel Logic Level Enhancement Mode Field Effect Transistor";"Q1, Q2, Q6, Q7, Q8, Q9";"6";"1.3A";;;"TRANS-NFET-1"
"FTDI";"FT4232HQ";"Quad High Speed USB to Multipurpose UART/MPSSE";"U33";"1";;;;"IC-IF-0"
"HALO";"HFJ11-1G01E-L12";"RJ45 with Integrated magnetic and dual LEDs";"P9, P12";"2";;;;"CONN-PCB-4"
"Intersil";"ICL3225EIAZ";"Low-power RS232 transceivers";"U36";"1";;;;"IC-LOG-9"
"KEMET";"T491X227M010AT";"220uF, Solid Tantalum Chip Capacitor";"C182";"1";"10V";"20%";"220uF";"CAP-TAN-0"
"KEMET";"T520D337M006ATE045";"330uF, Conductive Polymer Chip Capacitor";"C303, C304, C305, C306, C307, C308, C309, C310, C311, C326, C344, C632";"12";"6.3V";"20%";"330uF";"CAP-TAN-2"
"KEMET";"T520T476M006ATE070";"47uF, Conductive Polymer Chip Capacitor";"C312, C313, C314, C315, C316, C317, C361, C362, C363, C373, C374, C375, C376, C385, C387, C388, C389, C394, C395, C396, C403, C408, C415, C418, C710, C711, C712, C713, C714, C715, C716, C717";"32";"6.3V";"20%";"47uF";"CAP-TAN-1"
"KEMET";"T520Y687M004ATE015";"680uF, Conductive Polymer Chip Capacitor";"C3, C19";"2";"4V";"20%";"680uF";"CAP-TAN-8"
"KEMET";"T530X158M2R5ATE005";"1500uF, Conductive Polymer Chip Capacitor";"C28, C34";"2";"2V5";"20%";"1500uF";"CAP-TAN-4"
"Keystone";"2998";"Surface Mount, 6.8mm Coin Cell Retainer";"BT1";"1";;;" ";"ELMECH-BAT-1"
"Linear Technology";"LTC2954CTS8-1#TRMPBF";"Push Button On/Off Controller";"U12";"1";;;;"IC-MON-8"
"Littelfuse";"1206L050-C";"Resettable, Surface mount Fuse";"F1, F2, F3, F4, F5, F6, F7, F8, F9";"9";"500mA";;;"ELMECH-FUSE-0"
